id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,remarks
A09BA218B8E6,sgrol dkar gyi bu mo,རང་ གི་ བུ་མོ་ ཕྱུ་པ་ ཞིག་ བཟོ་ གི་ མིན་ ད །,26,རང་ གི་ བུ་མོ་,93,95,FALSE,n,FALSE,FALSE,R,TRUE,FALSE,FALSE,6,FALSE,
90706C4DCF64,bu mo'i phyu pa,རང་ གི་ བུ་མོ་ ཕྱུ་པ་ ཞིག་ བཟོ་ གི་ མིན་ ད །,26,ཕྱུ་པ་ ཞིག་,96,97,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,4,FALSE,
2153E6B091FF,ras 3,འདི་ ནས་ གཅིག་ བཟོས་ བཞག་ ན་ ཏག་ཏག་ རེད །,31,འདི་ ནས་,113,114,TRUE,i,TRUE,FALSE,E,FALSE,FALSE,FALSE,3,TRUE,
38B5D17E79BDF,bu mo'i phyu pa,འདི་ ནས་ གཅིག་ བཟོས་ བཞག་ ན་ ཏག་ཏག་ རེད །,31,གཅིག་,115,115,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,1,TRUE,
22ACD50F5B200,grogs mo,ང ས་ རང་ གི་ ཕྱུ་པ་ ལྟོས་ ད་,38,ང ས་,161,162,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE,
878EFC071D88,sgrol dkar gyi phyu pa,ང ས་ རང་ གི་ ཕྱུ་པ་ ལྟོས་ ད་,38,རང་ གི་ ཕྱུ་པ་,163,165,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,6,FALSE,
31B2035DE7F80,phyu pa (from ras 4),ཕྱུ་པ་ འདི ར་ ག་ཚོད་ རེད །,75,ཕྱུ་པ་ འདི ར་,334,336,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,5,FALSE,The cloth is local but the chupa doesn't exist yet
179B320E248B7,gong tshad,ཕྱུ་པ་ འདི ར་ ག་ཚོད་ རེད །,75,ག་ཚོད་,337,337,FALSE,n,FALSE,TRUE,PRED,FALSE,FALSE,FALSE,2,TRUE,
3A66F837977C,phyu pa (from ras 4),ཕྱུ་པ་ འདི ར་ ༢༥༠ རེད །,77,ཕྱུ་པ་ འདི ར་,342,344,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,5,FALSE,
12774D80E21E5,gong tshad,ཕྱུ་པ་ འདི ར་ ༢༥༠ རེད །,77,༢༥༠,345,345,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,0,FALSE,
22F7A9A6B30DB,gong tshad,༢༥༠ ནས་,78,༢༥༠ ནས་,348,349,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,2,FALSE,
878AD3C38BFA,yang tig,ཡང་ཏིག་ ཏིག་ཙམ་ ཡོད་ མ་ རེད་ པས །,79,ཡང་ཏིག་,350,350,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,2,FALSE,
1BE0B0109FBB7,phyu pa sgang la,ད་ འདི འི སྒང་ ལ་ ཡང་,112,འདི འི སྒང་ ལ་ ཡང་,482,486,TRUE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,7,FALSE,
2A3A0D558D3F4,gos chen gyi 'og 'jug,དེ་ བིད་ ཀྱི་ རེད་ །,113,དེ་,487,487,FALSE,i,FALSE,FALSE,S,FALSE,FALSE,FALSE,1,TRUE,
2462A5EDB494C,phyu pa sgang la,འདི འི་ སྒང་ ལ་ གོས་ཆེན་ རང་ གི་ འོག་འཇུག་ <0> ལགས །,116,འདི འི་ སྒང་ ལ་,500,503,TRUE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,6,FALSE,
445037D08C1C,gos chen gyi 'og 'jug,འདི འི་ སྒང་ ལ་ གོས་ཆེན་ རང་ གི་ འོག་འཇུག་ <0> ལགས །,116,གོས་ཆེན་ རང་ གི་ འོག་འཇུག་,504,507,FALSE,n,FALSE,FALSE,S,FALSE,FALSE,FALSE,9,FALSE,
30B2548984518,ras (final),ཨ་ནི་ འདི་ ལ་ གོས་ཆེན་ རང་ གི་ འོག་འཇུག་ ཞིག་ བིད་ ན །,125,འདི་ ལ་,552,553,TRUE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,3,TRUE,
31298F6B05526,gos chen gyi 'og 'jug,ཨ་ནི་ འདི་ ལ་ གོས་ཆེན་ རང་ གི་ འོག་འཇུག་ ཞིག་ བིད་ ན །,125,གོས་ཆེན་ རང་ གི་ འོག་འཇུག་ ཞིག་,554,558,FALSE,n,FALSE,FALSE,S,FALSE,FALSE,FALSE,11,FALSE,
237F38E71C940,sgrol dkar,ཨ་ནི་ ཁྱེད་རང་,141,ཁྱེད་རང་,614,614,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,2,TRUE,
20F27A3BA5BF0,ras (final),ཕྱུ་པ་ འདི་འདྲས་སེ་ བཏང་ གནང་ དང་ །,142,ཕྱུ་པ་,615,615,TRUE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,2,FALSE,"Not an actual chupa, but he's speaking as though the cloth were the chupa. A reasonable alternative interpretation is that this is talking about chupas in general, and hence this would be non-identifiable and non-local."
uJNkqE20tWgTx,spang gdan dang 'og 'jug dang phyu pa,ཕྱུ་པ་ གང་ག་ ལ་ སྒོར་མོ་ ག་ཚོད་ རེད །,199,སྤང་གདན་ བྱས ། འོག་འཇུག ཕྱུ་པ་ གང་ག་ ལ་,857,863,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,13,FALSE,
21F37F921D593,spang gdan dang 'og 'jug dang phyu pa'i gong,ཕྱུ་པ་ གང་ག་ ལ་ སྒོར་མོ་ ག་ཚོད་ རེད །,199,སྒོར་མོ་ ག་ཚོད་,864,865,FALSE,n,FALSE,TRUE,PRED,FALSE,FALSE,FALSE,5,FALSE,
11F41F00D6E50,spand gdan (an actual one),སྤང་གདན་ ལ་ ༢༦༠ བྱས །,200,སྤང་གདན་ ལ་,868,869,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,3,FALSE,
2B5834F3EAFE7,spang gdan gyi gong,སྤང་གདན་ ལ་ ༢༦༠ བྱས །,200,༢༦༠,870,870,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,0,FALSE,
14D6580F602C2,yi tho'u,ཕྱུ་པ་ ཡི་ ཐོའུ་ ལ་,204,ཕྱུ་པ་ ཡི་ ཐོའུ་ ལ་,883,886,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,8,FALSE,
50AC4D77240D,sgor mo 480,_H_ འདི་ རེད་ བཞག་,205,འདི་,888,888,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,1,TRUE,
3296E7090B22E,yi tho'u'i gong,༥༡༠ ནས་ ༤༨༠ ལ་ <0> <0> <0> ཕུལ་ གྱི་ རེད །,206,༥༡༠ ནས་,891,892,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,2,FALSE,
288190D9C6D5E,sgor mo 480,༥༡༠ ནས་ ༤༨༠ ལ་ <0> <0> <0> ཕུལ་ གྱི་ རེད །,206,༤༨༠ ལ་,893,894,FALSE,n,FALSE,FALSE,E,FALSE,FALSE,FALSE,2,FALSE,
573F8DB32AE,sgrol dkar gyiming,ཨ་ནི་ ཁྱེད་རང་ གི་ མིང་ ག་རེ་ ཟེར་ གྱི་ ཡོད །,245,ཁྱེད་རང་ གི་ མིང་,1089,1091,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,6,FALSE,
36AD1FAB6C96F,sgrol dkar gyiming,ཨ་ནི་ ཁྱེད་རང་ གི་ མིང་ ག་རེ་ ཟེར་ གྱི་ ཡོད །,245,ག་རེ་,1092,1092,FALSE,n,FALSE,TRUE,PRED,FALSE,FALSE,FALSE,2,TRUE,
1A955B498B6D5,dpyad pa,དཔུང་པ་ དགུ་ བྱས །,253,དཔུང་པ་,1117,1117,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,FALSE,
11C1D3FFBB570,dpyad pa,དཔུང་པ་ དགུ་ བྱས །,253,དགུ་,1118,1118,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,1,FALSE,
231BDE49D4B07,dngul (on sgrol dkar currently),<0> དངུལ ད་ལྟ་ འདི ར ཞེ་དྲག་ མེད །,284,དངུལ,1243,1243,TRUE,n,TRUE,FALSE,EXIST,FALSE,FALSE,FALSE,0,FALSE,
35E071A51C88B,tshong khang 'di,<0> དངུལ ད་ལྟ་ འདི ར ཞེ་དྲག་ མེད །,284,འདི ར,1245,1246,TRUE,i,FALSE,FALSE,COPLOC,FALSE,FALSE,FALSE,1,TRUE,
52F4A840E5B0,'og 'jug (with flower pattern),ཁྱེར་རང་ གི་ དེ་ གོས་ཆེན་ རེད་ པ །,329,ཁྱེར་རང་ གི་ དེ་,1417,1419,FALSE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,6,TRUE,
129190B5A4989,gos chen gyi 'og 'jug,ཁྱེར་རང་ གི་ དེ་ གོས་ཆེན་ རེད་ པ །,329,གོས་ཆེན་,1420,1420,FALSE,i,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,2,FALSE,
